Reference,Quantity, Value,Digikey Part Number
C1 C2 C3 ,7,DNM_1uF,1276-1184-1-ND
C10 C11 ,5,22uF,490-7611-1-ND
C12 C14 C17 C26 ,9,12pF,490-5924-1-ND
C15 ,3,1uF,1276-1184-1-ND
C18 C19 ,5,1.1pF,490-8189-1-ND
C20 ,3,1.2pF,490-6209-1-ND
C21 ,3,1pF,478-3659-1-ND
C22 C29 C31 ,7,100pF,490-5922-1-ND
C23 C24 ,5,3pF,490-5872-1-ND
C25 C27 ,5,DNM,490-5939-1-ND
C28 ,3,3.6pF,490-5939-1-ND
C4 ,3,DNM_2.2uF,1276-1085-1-ND
C7 ,3,2.2uF,1276-1085-1-ND
C5 C6 C8 C9 C13 C16 ,13,0.1uF,311-1777-1-ND
D1 D2 D3 D4 D5 ,11,Blue,475-2815-1-ND
D6 ,3,Green,67-2320-1-ND
J1 ,3,Conn_ARM_JTAG_SWD_10,1175-1621-ND
L1 ,3,6.8uH,445-17082-1-ND
L12 ,3,9.1nH,490-8390-1-ND
L2 ,3,15nH,490-2625-1-ND
L3 L4 ,5,2.4nH,490-8389-1-ND
L5 L6 ,5,3.9nH,490-2617-1-ND
L7 L10 ,5,2nH,490-6569-1-ND
L8 ,3,22nH,490-2627-1-ND
L9 L11 ,5,10nH,490-2623-1-ND
R17 R19 ,5,4.7k,RMCF0603FT4K70CT-ND
R2 R4 R5 R7 ,9,10K,13-RT0603FRE1310KLCT-ND
R1 R3 ,5,DNM_10k,13-RT0603FRE1310KLCT-ND
R6 R8 R9 R10 R11 R12 ,13,1k,RMCF0603FT1K00CT-ND
SW1 SW2 SW3 SW4 SW5 ,11,SW_MEC_5E,679-2381-1-ND
U1 ,5,CC1352R,296-53598-1-ND
U2 ,3,0.8Ghz_and_2.4GHz_Filter,445-174204-1-ND
U3 ,3,SMA_Antenna,ACX1230-ND
U4 ,3,BeagleBone_P8,1528-1365-ND
U5 ,1,BeagleBone_P9,
Y1 ,3,32.768kHz,2195-CC5V-T1A-32.768KHZ-7PF-20PPM-TA-QCCT-ND
Y2 ,3,48MHz,535-13996-1-ND
